Join_Count,TARGET_FID,xid,price202403,p_x_y,DB4201T_ID,label,KMeamsID,Krigin
1,3886,2610157876.000000000000000,12038,12038_114.3209485_30.54119998,56,20,66,22
1,3887,2610154376.000000000000000,14394,14394_114.3245107_30.52626884,56,20,66,19
1,3888,2610154262.000000000000000,23508,23508_114.3015801_30.5360885,52,30,88,19
1,3889,2610154020.000000000000000,25102,25102_114.3420334_30.54335425,57,21,76,25
1,3890,2610153742.000000000000000,14992,14992_114.3046109_30.53609376,50,30,88,19
1,3891,2610153594.000000000000000,14869,14869_114.3184045_30.5458778,56,20,66,20
1,3892,2610153452.000000000000000,16910,16910_114.292623_30.55549849,49,30,88,20
1,3893,2610153130.000000000000000,32361,32361_114.3423921_30.54291108,57,21,76,25
1,3894,2610153088.000000000000000,31528,31528_114.3379109_30.54865567,57,21,76,25
1,3895,2610153042.000000000000000,29781,29781_114.3345278_30.54545015,57,21,76,25
1,3896,2610152952.000000000000000,13953,13953_114.3259794_30.53560019,56,20,66,24
1,3897,2611281106.000000000000000,23757,23757_114.2893733_30.54782806,50,30,88,19
1,3898,2611260752.000000000000000,21911,21911_114.3296114_30.54054537,56,21,76,23
1,3899,2611238352.000000000000000,17089,17089_114.3093536_30.53382302,52,10,36,19
1,3900,2611227512.000000000000000,21816,21816_114.3441192_30.55260414,57,41,124,<Null>
1,3901,2611227482.000000000000000,31435,31435_114.3420412_30.55238667,57,41,124,<Null>
1,3902,2611225550.000000000000000,24511,24511_114.2971166_30.53493194,52,10,36,20
1,3903,2611212876.000000000000000,14738,14738_114.2911582_30.54333519,50,30,88,21
1,3904,2610611894.000000000000000,11914,11914_114.2472449_30.61418535,18,10,42,18
1,3905,2700060110.000000000000000,16768,16768_114.3495741_30.58061883,48,40,114,20
1,3906,2700060082.000000000000000,13509,13509_114.3196472_30.54927756,55,20,66,21
1,3907,2610009429.000000000000000,14426,14426_114.3450701_30.60632669,44,0,7,19
1,3908,2610009415.000000000000000,10685,10685_114.3363734_30.55816825,47,41,124,25
1,3909,2610163510.000000000000000,20052,20052_114.3077212_30.54576969,49,30,88,19
1,3910,2610160994.000000000000000,12850,12850_114.2918374_30.54491331,50,30,88,21
1,3911,2610160964.000000000000000,10787,10787_114.3041408_30.53983695,50,30,88,19
1,3912,2610160962.000000000000000,14673,14673_114.3027751_30.53196415,52,10,36,19
1,3913,2610160958.000000000000000,11216,11216_114.3158862_30.54464267,56,20,66,20
1,3914,2610160956.000000000000000,11128,11128_114.3158706_30.54434733,56,20,66,20
1,3915,2610160940.000000000000000,30909,30909_114.3383863_30.55027709,57,21,76,25
1,3916,2610160938.000000000000000,25766,25766_114.3338293_30.55143578,57,21,76,23
1,3917,2610159584.000000000000000,15932,15932_114.3361801_30.52761822,56,20,66,19
1,3918,2610159582.000000000000000,20008,20008_114.3360575_30.52733227,56,20,66,19
1,3919,2610158404.000000000000000,13709,13709_114.3259046_30.52782225,56,20,66,20
1,3920,2610516278.000000000000000,12312,12312_114.355355_30.57530398,47,40,114,20
1,3921,2610606676.000000000000000,14584,14584_114.2717287_30.59183934,17,30,89,19
1,3922,2611115898.000000000000000,10099,10099_114.3117467_30.53416806,52,20,66,19
1,3923,2611002814.000000000000000,26353,26353_114.338745_30.56068247,47,41,124,25
1,3924,2610155914.000000000000000,15657,15657_114.293845_30.51212692,54,10,36,17
1,3925,2610956114.000000000000000,9590,9590_114.3057256_30.56826355,43,30,88,21
1,3926,2610019868.000000000000000,15217,15217_114.3047748_30.55852239,43,30,88,20
1,3927,2610865220.000000000000000,24118,24118_114.3357736_30.58722009,48,0,7,20
1,3928,2610793260.000000000000000,14284,14284_114.320211_30.52856184,56,20,66,19
1,3929,2610786626.000000000000000,20412,20412_114.3543081_30.61383176,44,0,7,18
1,3930,2610790226.000000000000000,17760,17760_114.322933_30.52426712,56,20,66,19
1,3931,2610746382.000000000000000,29323,29323_114.3401841_30.5520778,57,41,124,24
1,3932,2610771582.000000000000000,11166,11166_114.3161745_30.52043361,53,10,36,19
1,3933,2610649264.000000000000000,19180,19180_114.3069468_30.56400208,43,30,88,21
1,3934,2610636352.000000000000000,19841,19841_114.3021194_30.51862832,54,10,36,19
1,3935,2610621512.000000000000000,15560,15560_114.3416247_30.58305096,48,0,7,20
1,3936,2610612152.000000000000000,17202,17202_114.3025507_30.55516162,49,30,88,20
1,3937,2610605422.000000000000000,13445,13445_114.2698022_30.62104506,19,0,8,17
1,3938,2610866162.000000000000000,16900,16900_114.2961027_30.55218063,49,30,88,20
1,3939,2610866152.000000000000000,14847,14847_114.3078328_30.56327735,43,30,88,21
1,3940,2610866044.000000000000000,19920,19920_114.3243251_30.58938729,45,0,7,22
1,3941,2610865312.000000000000000,20084,20084_114.3173294_30.58008858,45,0,7,22
1,3942,2610865160.000000000000000,19024,19024_114.332924_30.59192093,45,0,7,20
1,3943,2610841342.000000000000000,18567,18567_114.2980531_30.51964807,54,10,36,19
1,3944,2610792304.000000000000000,22197,22197_114.2866744_30.5420199,50,30,88,21
1,3945,2610786676.000000000000000,28307,28307_114.3303878_30.60276211,44,0,7,22
1,3946,2610786588.000000000000000,21128,21128_114.2890685_30.52970297,52,10,36,20
1,3947,2610746028.000000000000000,16755,16755_114.3084725_30.5587167,43,30,88,20
1,3948,2610674066.000000000000000,14228,14228_114.3194869_30.54127214,56,20,66,22
1,3949,2610664538.000000000000000,17704,17704_114.2955372_30.51965584,54,10,36,18
1,3950,2610634832.000000000000000,27031,27031_114.3428175_30.55921011,47,41,124,25
1,3951,2610625550.000000000000000,25571,25571_114.3231112_30.58577614,45,0,7,22
1,3952,2610624286.000000000000000,24912,24912_114.3350893_30.59135859,45,0,7,20
1,3953,2610617448.000000000000000,13602,13602_114.3122007_30.52761345,56,10,36,19
1,3954,2610614544.000000000000000,39434,39434_114.3260428_30.53805929,56,21,76,24
1,3955,2610608480.000000000000000,15576,15576_114.2993812_30.55164449,49,30,88,20
1,3956,2610602830.000000000000000,14056,14056_114.3151893_30.54384454,56,20,66,20
1,3957,2610516282.000000000000000,24760,24760_114.3397299_30.55852642,47,41,124,25
1,3958,2610554464.000000000000000,13197,13197_114.2785493_30.57881067,16,20,67,19
1,3959,2610153466.000000000000000,15157,15157_114.3142744_30.53873196,50,20,66,20
1,3960,2610153352.000000000000000,26818,26818_114.3279963_30.54014368,56,21,76,24
1,3961,2611282416.000000000000000,25014,25014_114.2920679_30.53889622,50,30,88,20
1,3962,2610928142.000000000000000,17923,17923_114.3273979_30.59343628,45,0,7,21
1,3963,2610920120.000000000000000,17764,17764_114.2907902_30.53160908,52,10,36,20
1,3964,2610888940.000000000000000,22438,22438_114.302945_30.52252815,54,10,36,20
1,3965,2610880844.000000000000000,27693,27693_114.3063889_30.55132715,49,30,88,19
1,3966,2610882178.000000000000000,22146,22146_114.3135934_30.52892343,56,10,36,19
1,3967,2610867456.000000000000000,17087,17087_114.3237855_30.58453515,45,0,7,20
1,3968,2610867420.000000000000000,16742,16742_114.3001233_30.52682126,54,10,36,19
1,3969,2610867414.000000000000000,25106,25106_114.3286703_30.58126872,46,1,23,20
1,3970,2610867410.000000000000000,18160,18160_114.3238696_30.58476224,45,0,7,22
1,3971,2610867404.000000000000000,17465,17465_114.3267239_30.58530055,45,0,7,21
1,3972,2610867376.000000000000000,19356,19356_114.3247378_30.54213421,56,20,66,22
1,3973,2610867042.000000000000000,16561,16561_114.2954721_30.55481999,49,30,88,20
1,3974,2610866356.000000000000000,14579,14579_114.3357668_30.52715404,56,20,66,20
1,3975,2610866312.000000000000000,13399,13399_114.2934806_30.52192663,54,10,36,18
1,3976,2610866308.000000000000000,19448,19448_114.3006861_30.52309463,54,10,36,19
1,3977,2610866300.000000000000000,13797,13797_114.3025765_30.53179816,52,10,36,19
1,3978,2611052754.000000000000000,18870,18870_114.2494351_30.61546516,18,10,42,19
1,3979,2610019778.000000000000000,11187,11187_114.311703_30.54511632,49,30,88,19
1,3980,2610009426.000000000000000,20517,20517_114.3256798_30.58929756,45,0,7,21
1,3981,2610009421.000000000000000,17149,17149_114.3104653_30.54611015,49,30,88,19
1,3982,2610009176.000000000000000,24457,24457_114.3280297_30.55185914,55,21,76,22
1,3983,2610009406.000000000000000,31694,31694_114.3138872_30.57975546,43,0,7,24
1,3984,2610158650.000000000000000,11915,11915_114.2960853_30.51378874,54,10,36,17
1,3985,2610745900.000000000000000,11878,11878_114.3377082_30.58727829,48,0,7,19
1,3986,2610163830.000000000000000,17837,17837_114.3003345_30.52168411,54,10,36,19
1,3987,2610160784.000000000000000,22188,22188_114.2879186_30.5381566,50,30,88,21
1,3988,2610160732.000000000000000,15463,15463_114.3162499_30.54087309,50,20,66,20
1,3989,2610160716.000000000000000,18191,18191_114.2953481_30.52348935,54,10,36,18
1,3990,2610159680.000000000000000,28364,28364_114.3598097_30.57562656,47,40,114,20
1,3991,2610156700.000000000000000,12113,12113_114.3165121_30.57671582,43,0,7,20
1,3992,2610155790.000000000000000,18068,18068_114.2980647_30.53792572,50,30,88,19
1,3993,2610155730.000000000000000,15980,15980_114.3072799_30.5578783,43,30,88,20
1,3994,2610154040.000000000000000,18319,18319_114.3433602_30.55992068,47,40,114,25
1,3995,2610154022.000000000000000,24743,24743_114.3251939_30.54712598,55,21,76,22
1,3996,2610153956.000000000000000,13751,13751_114.3153326_30.51901852,53,10,36,19
1,3997,2610153768.000000000000000,17003,17003_114.3175656_30.5405418,50,20,66,20
1,3998,2610153718.000000000000000,19701,19701_114.302945_30.52252815,54,10,36,20
1,3999,2610319346.000000000000000,13171,13171_114.2281545_30.62063617,20,10,42,16
1,4000,2610629384.000000000000000,17124,17124_114.3098668_30.57540997,43,30,88,21
1,4001,2610612636.000000000000000,19150,19150_114.2948019_30.54621255,50,30,88,20
1,4002,2610612628.000000000000000,27020,27020_114.298788_30.55384697,49,30,88,20
1,4003,2610612058.000000000000000,34538,34538_114.3408997_30.54039384,57,21,76,25
1,4004,2610611860.000000000000000,11844,11844_114.2957046_30.51075242,54,10,36,17
1,4005,2610608612.000000000000000,25010,25010_114.3239694_30.54718266,55,20,66,21
1,4006,2610606644.000000000000000,16094,16094_114.2986124_30.55361529,49,30,88,20
1,4007,2610603232.000000000000000,16057,16057_114.3207331_30.54839067,55,20,66,21
1,4008,2610602846.000000000000000,16039,16039_114.3175733_30.54900027,55,20,66,19
1,4009,2610600544.000000000000000,12411,12411_114.2904946_30.51982097,54,10,36,18
1,4010,2610516196.000000000000000,10937,10937_114.3213156_30.58114096,45,0,7,20
1,4011,2610384158.000000000000000,14231,14231_114.3397721_30.59561534,44,0,7,19
1,4012,2610369982.000000000000000,23902,23902_114.3071611_30.53476845,52,10,36,19
1,4013,2610091681.000000000000000,17581,17581_114.3138977_30.54496752,56,30,88,19
1,4014,2610090843.000000000000000,13685,13685_114.341379_30.60791403,44,0,7,21
1,4015,2610067343.000000000000000,19105,19105_114.343126_30.56731266,47,40,114,23
1,4016,2700060407.000000000000000,19089,19089_114.2914617_30.5334849,52,10,36,20
1,4017,2610019842.000000000000000,18398,18398_114.2984932_30.5395408,50,30,88,19
1,4018,2610072420.000000000000000,14937,14937_114.2778422_30.58020887,16,20,67,19
1,4019,2610939852.000000000000000,16502,16502_114.2919576_30.54312635,50,30,88,20
1,4020,2610922636.000000000000000,10973,10973_114.3182751_30.54661834,55,20,66,19
1,4021,2610895016.000000000000000,24515,24515_114.3092257_30.55359128,49,30,88,20
1,4022,2610889376.000000000000000,19064,19064_114.3265275_30.59888193,45,0,7,21
1,4023,2610885184.000000000000000,13519,13519_114.3143532_30.54975634,55,30,88,19
1,4024,2610885098.000000000000000,21495,21495_114.2953842_30.53255563,52,10,36,19
1,4025,2610884632.000000000000000,23124,23124_114.3509494_30.57435394,47,40,114,20
1,4026,2610884176.000000000000000,26849,26849_114.3317058_30.5848998,46,1,23,20
1,4027,2610880450.000000000000000,18874,18874_114.3555003_30.56881936,47,40,114,21
1,4028,2610867776.000000000000000,24098,24098_114.3278583_30.59224357,45,0,7,21
1,4029,2610866332.000000000000000,23979,23979_114.3300001_30.53885192,56,21,76,24
1,4030,2610866280.000000000000000,18546,18546_114.297341_30.53871681,50,30,88,20
1,4031,2610866154.000000000000000,11687,11687_114.3005613_30.55905697,43,30,88,22
1,4032,2610866058.000000000000000,20237,20237_114.3458847_30.60856587,44,0,7,19
1,4033,2610866054.000000000000000,22473,22473_114.3411166_30.58815697,48,0,7,19
1,4034,2610865356.000000000000000,11823,11823_114.2945215_30.53046718,52,10,36,19
1,4035,2610801188.000000000000000,11849,11849_114.3339923_30.59465429,45,0,7,20
1,4036,2610794242.000000000000000,17084,17084_114.364777_30.57684673,47,40,114,20
1,4037,2610673098.000000000000000,17060,17060_114.3407966_30.58693368,48,0,7,19
1,4038,2610009443.000000000000000,17994,17994_114.3014549_30.54964798,49,30,88,20
1,4039,2610009440.000000000000000,14936,14936_114.342403_30.60769315,44,0,7,19
1,4040,2610161244.000000000000000,15893,15893_114.2809753_30.58736732,1,20,67,18
1,4041,2610159988.000000000000000,12161,12161_114.2706196_30.59272515,17,30,89,19
1,4042,2610159644.000000000000000,13909,13909_114.2726677_30.58565862,17,20,67,19
1,4043,2610153138.000000000000000,16025,16025_114.2860985_30.57154665,16,20,67,20
1,4044,2611201204.000000000000000,18934,18934_114.2384596_30.62447457,20,10,42,18
1,4045,2611203952.000000000000000,15571,15571_114.2731481_30.58248235,16,20,67,19
1,4046,2611197106.000000000000000,11128,11128_114.2598972_30.61861138,19,0,8,18
1,4047,2610905128.000000000000000,12069,12069_114.2660347_30.59281414,17,30,89,19
